method,serie,F1,precision,recall
ARIMA,1,0.727272727272727,0.888888888888889,0.615384615384615
ARIMA,2,0.666666666666667,0.5,1
ARIMA,3,1,1,1
ARIMA,4,0.666666666666667,0.75,0.6
ARIMA,5,0.571428571428572,1,0.4
ARIMA,6,0.928571428571429,0.928571428571429,0.928571428571429
ARIMA,7,0.909090909090909,0.909090909090909,0.909090909090909
ARIMA,8,1,1,1
ARIMA,9,0.947368421052632,1,0.9
ARIMA,10,0.666666666666667,0.777777777777778,0.583333333333333
ARIMA,11,0.461538461538462,1,0.3
ARIMA,12,0.615384615384615,1,0.444444444444444
ARIMA,13,0.333333333333333,0.24,0.545454545454545
ARIMA,14,0.2,0.111111111111111,1
ARIMA,15,0.636363636363636,1,0.466666666666667
ARIMA,16,0.692307692307692,0.642857142857143,0.75
ARIMA,17,0.727272727272727,0.8,0.666666666666667
ARIMA,18,0.666666666666667,1,0.5
ARIMA,19,0.777777777777778,1,0.636363636363636
ARIMA,20,0.571428571428572,0.4,1
ARIMA,21,1,1,1
ARIMA,22,0.615384615384615,1,0.444444444444444
ARIMA,23,1,1,1
ARIMA,24,0.666666666666667,0.555555555555556,0.833333333333333
ARIMA,25,0.571428571428572,0.666666666666667,0.5
ARIMA,26,0.842105263157895,1,0.727272727272727
ARIMA,27,0.827586206896552,0.923076923076923,0.75
ARIMA,28,1,1,1
ARIMA,29,0.842105263157895,0.8,0.888888888888889
ARIMA,30,1,1,1
ARIMA,31,0.416666666666667,0.416666666666667,0.416666666666667
ARIMA,32,0.941176470588235,1,0.888888888888889
ARIMA,33,0.666666666666667,1,0.5
ARIMA,34,0.545454545454545,0.75,0.428571428571429
ARIMA,35,0.0666666666666667,0.0344827586206897,1
ARIMA,36,1,1,1
ARIMA,37,0.19047619047619,0.105263157894737,1
ARIMA,38,0.666666666666667,0.517241379310345,0.9375
ARIMA,39,0.413793103448276,0.285714285714286,0.75
ARIMA,40,NA,0,0
ARIMA,41,1,1,1
ARIMA,42,1,1,1
ARIMA,43,0.64,0.727272727272727,0.571428571428571
ARIMA,44,0.909090909090909,0.833333333333333,1
ARIMA,45,1,1,1
ARIMA,46,0.2,0.111111111111111,1
ARIMA,47,0.571428571428572,0.4,1
ARIMA,48,0.666666666666667,1,0.5
ARIMA,49,0.625,0.833333333333333,0.5
ARIMA,50,0.666666666666667,0.75,0.6
ARIMA,51,1,1,1
ARIMA,52,0.72,0.75,0.692307692307692
ARIMA,53,0.5,0.8,0.363636363636364
ARIMA,54,0.818181818181818,1,0.692307692307692
ARIMA,55,0.7,1,0.538461538461538
ARIMA,56,0.0740740740740741,0.0416666666666667,0.333333333333333
ARIMA,57,0.761904761904762,1,0.615384615384615
ARIMA,58,0.736842105263158,1,0.583333333333333
ARIMA,59,1,1,1
ARIMA,60,0.857142857142857,0.75,1
