method,serie,F1,precision,recall
ARIMA,37,0.928571428571429,0.928571428571429,0.928571428571429
ARIMA,38,0.9375,0.9375,0.9375
ARIMA,39,0.909090909090909,0.833333333333333,1
ARIMA,40,0.866666666666667,0.928571428571429,0.8125
ARIMA,41,0.5,0.333333333333333,1
ARIMA,42,1,1,1
ARIMA,43,0.967741935483871,0.9375,1
ARIMA,44,1,1,1
ARIMA,45,0.705882352941177,0.666666666666667,0.75
ARIMA,46,1,1,1
ARIMA,47,0.75,0.666666666666667,0.857142857142857
ARIMA,48,1,1,1
ARIMA,49,0.923076923076923,0.857142857142857,1
ARIMA,50,1,1,1
ARIMA,51,0.9375,0.9375,0.9375
ARIMA,52,1,1,1
ARIMA,53,0.333333333333333,0.2,1
ARIMA,54,0.947368421052632,0.9,1
ARIMA,55,1,1,1
ARIMA,56,0.846153846153846,0.733333333333333,1
ARIMA,57,1,1,1
ARIMA,58,1,1,1
ARIMA,59,0.962962962962963,0.928571428571429,1
ARIMA,60,1,1,1
ARIMA,61,1,1,1
ARIMA,62,1,1,1
ARIMA,63,1,1,1
ARIMA,64,0.666666666666667,0.5,1
ARIMA,65,1,1,1
ARIMA,66,1,1,1
ARIMA,67,0.875,0.777777777777778,1
ARIMA,68,1,1,1
ARIMA,69,0.9,0.818181818181818,1
ARIMA,70,1,1,1
ARIMA,71,0.695652173913044,0.533333333333333,1
ARIMA,72,0.875,0.823529411764706,0.933333333333333
ARIMA,73,1,1,1
ARIMA,74,1,1,1
ARIMA,75,1,1,1
ARIMA,76,1,1,1
ARIMA,77,1,1,1
ARIMA,78,0.909090909090909,0.833333333333333,1
ARIMA,79,1,1,1
ARIMA,80,1,1,1
ARIMA,81,1,1,1
ARIMA,82,0.636363636363636,0.466666666666667,1
ARIMA,83,1,1,1
ARIMA,84,0.526315789473684,0.357142857142857,1
ARIMA,85,1,1,1
ARIMA,86,1,1,1
ARIMA,87,0.933333333333333,0.875,1
ARIMA,88,0.833333333333333,0.833333333333333,0.833333333333333
ARIMA,89,0.888888888888889,0.923076923076923,0.857142857142857
ARIMA,90,0.9,0.9,0.9
ARIMA,91,1,1,1
ARIMA,92,1,1,1
ARIMA,93,1,1,1
ARIMA,94,1,1,1
ARIMA,95,1,1,1
ARIMA,96,1,1,1
ARIMA,97,1,1,1
ARIMA,98,1,1,1
ARIMA,99,1,1,1
ARIMA,100,1,1,1
FBIAD,1,0.545454545454546,0.409090909090909,0.818181818181818
FBIAD,2,0.666666666666667,0.529411764705882,0.9
FBIAD,3,0.666666666666667,0.5,1
FBIAD,4,0.636363636363636,0.466666666666667,1
FBIAD,5,0.631578947368421,0.48,0.923076923076923
FBIAD,6,0.615384615384615,0.470588235294118,0.888888888888889
FBIAD,7,0.666666666666667,0.5,1
FBIAD,8,0.571428571428572,0.4,1
FBIAD,9,0.342857142857143,0.230769230769231,0.666666666666667
FBIAD,10,0.5,0.333333333333333,1
FBIAD,11,0.606060606060606,0.476190476190476,0.833333333333333
