"","...1","method","dataset","series","time_fit","time_detect","time_detect_RT","time_RT","precision","recall","f1","precision_soft","recall_soft","f1_soft","precision_RT","recall_RT","f1_RT","precision_RT_soft","recall_RT_soft","f1_RT_soft"
"13",13,"fbiad","A3Benchmark","TS2",1.62124633789062e-05,0.0103030204772949,0.0161166191101074,1.97732377052307,1,0.9375,0.967741935483871,1,0.9375,0.967741935483871,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"14",14,"fbiad","A3Benchmark","TS20",3.24249267578125e-05,0.013308048248291,0.00949788093566895,1.83157229423523,0.785714285714286,0.916666666666667,0.846153846153846,0.785714285714286,0.916666666666667,0.846153846153846,0.478260869565217,0.916666666666667,0.628571428571429,0.51304347826087,0.983333333333333,0.674285714285714
"15",15,"fbiad","A3Benchmark","TS21",3.55243682861328e-05,0.0134098529815674,0.00947284698486328,1.78339028358459,0.8,1,0.888888888888889,0.8,1,0.888888888888889,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"16",16,"fbiad","A3Benchmark","TS22",3.86238098144531e-05,0.0228056907653809,0.00889348983764648,3.0986065864563,0.15,0.75,0.25,0.19,0.95,0.316666666666667,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"17",17,"fbiad","A3Benchmark","TS23",3.31401824951172e-05,0.0133528709411621,0.00883650779724121,2.13523864746094,0.733333333333333,0.733333333333333,0.733333333333333,0.733333333333333,0.733333333333333,0.733333333333333,0.416666666666667,0.666666666666667,0.512820512820513,0.583333333333333,0.933333333333333,0.717948717948718
"18",18,"fbiad","A3Benchmark","TS24",2.07424163818359e-05,0.0171115398406982,0.0084991455078125,2.73032188415527,0.114285714285714,0.5,0.186046511627907,0.16,0.7,0.26046511627907,0.466666666666667,0.875,0.608695652173913,0.52,0.975,0.678260869565217
"19",19,"fbiad","A3Benchmark","TS25",3.12328338623047e-05,0.0232458114624023,0.0161371231079102,2.04124164581299,0.181818181818182,1,0.307692307692308,0.181818181818182,1,0.307692307692308,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"20",20,"fbiad","A3Benchmark","TS26",5.93662261962891e-05,0.0131304264068604,0.0167036056518555,1.54214334487915,0.615384615384615,0.727272727272727,0.666666666666667,0.615384615384615,0.727272727272727,0.666666666666667,0.45,0.818181818181818,0.580645161290323,0.53,0.963636363636364,0.683870967741935
"21",21,"fbiad","A3Benchmark","TS27",3.45706939697266e-05,0.0127911567687988,0.00863361358642578,1.67120981216431,1,0.666666666666667,0.8,1,0.666666666666667,0.8,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"22",22,"fbiad","A3Benchmark","TS28",1.9073486328125e-05,0.0164980888366699,0.00867176055908203,1.13592791557312,0.666666666666667,1,0.8,0.666666666666667,1,0.8,0.4,1,0.571428571428572,0.4,1,0.571428571428572
